Section name,kg/m,h,b,tw,tf,r,hi,d,A,Iy,Wel.y,Wpl.y,iy,Avz,Iz,Wel.z,Wpl.z,iz,Ss,It,Iw,Class flexural S355,Class flexural S460,Class axial S355,Class axial S460
IPE A 140,10.5,137.4,73,3.8,5.6,7,126.2,112.2,13.4,434.8,63.29,71.59,5.6,6.213,36.42,9.979,15.52,1.6,2.3,1.338,1.576,1,1,2,3
IPE AA 140,10.1,136.6,73,3.8,5.2,7,126.2,112.2,12.8,407.4,59.65,67.59,5.6,6.141,33.83,9.268,14.45,1.6,2.2,1.153,1.455,1,1,2,3
IPE 120,10.4,120,64,4.4,6.3,7,107.4,93.4,13.2,317.7,52.95,60.72,4.9,6.305,27.66,8.646,13.58,1.4,2.5,1.69,0.889,1,1,1,1
IPE A 120,8.7,117.6,64,3.8,5.1,7,107.4,93.4,11,257.3,43.76,49.87,4.8,5.409,22.38,6.996,10.97,1.4,2.2,0.996,0.705,1,1,1,2
IPE AA 120,8.4,117,64,3.8,4.8,7,107.4,93.4,10.7,244.1,41.73,47.61,4.7,5.356,21.07,6.586,10.36,1.4,2.1,0.889,0.66,1,1,1,2
IPE 100,8.1,100,55,4.1,5.7,7,88.6,74.6,10.3,171,34.2,39.4,4,5.084,15.91,5.788,9.145,1.2,2.3,1.157,0.351,1,1,1,1
IPE A 100,6.9,98,55,3.6,4.7,7,88.6,74.6,8.8,141.1,28.8,32.98,4,4.437,13.12,4.771,7.537,1.2,2.1,0.726,0.283,1,1,1,1
IPE AA 100,6.7,97.6,55,3.6,4.5,7,88.6,74.6,8.6,135.8,27.84,31.9,3.9,4.402,12.56,4.569,7.234,1.2,2,0.672,0.27,1,1,1,1
IPE 80,6.0,80,46,3.8,5.2,5,69.6,59.6,7.6,80.13,20.03,23.21,3.2,3.577,8.489,3.69,5.817,1,2,0.672,0.117,1,1,1,1
IPE A 80,5.0,78,46,3.3,4.2,5,69.6,59.6,6.4,64.37,16.5,18.97,3.1,3.07,6.852,2.979,4.692,1,1.7,0.392,0.092,1,1,1,1
IPE AA 80,4.9,78,46,3.2,4.2,5,69.6,59.6,6.3,64.09,16.43,18.85,3.1,2.996,6.85,2.978,4.68,1,1.7,0.383,0.092,1,1,1,1
